date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-21 15:41:01,HarlemCapital,,1,14,57,"Thank you @businessinsider for this piece on our Partners @hpierrejacques and @jarridvtingle",,@businessinsider @hpierrejacques @jarridvtingle,,1230880111722926080,https://twitter.com/HarlemCapital/status/1230880111722926080
2020-02-21 02:35:01,HarlemCapital,,2,7,74,"Wow what an incredible BHM event with @Facebook. Leaving feeling inspired by the community. Thank you all for coming out, this village is so powerful ",,@Facebook,,1230682307608109061,https://twitter.com/HarlemCapital/status/1230682307608109061
2020-02-20 14:57:32,HarlemCapital,,0,27,84,"Read and Share Alert: Part 2 of our BHM series on diverse VC GPs is for investors and focuses on: 1) Raising your own fund 2) Sourcing and due diligence 3) Building a diverse portfolio 4) Investment trends Thanks @KeshaCashIAFund @kerby @chudson @SLP_EDU",,@KeshaCashIAFund @kerby @chudson @SLP_EDU,,1230506778393219077,https://twitter.com/HarlemCapital/status/1230506778393219077
2020-02-18 17:26:48,HarlemCapital,,2,13,69,"Update Alert: We had a busy January, but wanted to still update you on 2019 and give some insight to our 2020 plans. It was a special year as we closed Fund I and 2020 is shaping out to be just as exciting. Thank you all for your continued support.",,,,1229819569260433408,https://twitter.com/HarlemCapital/status/1229819569260433408
2020-02-18 17:14:54,HarlemCapital,TechCrunch,1,4,27,"Congrats @thatnatanya and the Naza team on raising $1mm from @Initialized",,@thatnatanya @Initialized,,1229816574049169408,https://twitter.com/HarlemCapital/status/1229816574049169408
2020-02-17 02:23:38,HarlemCapital,,3,9,96,"It was a pleasure to build with you @JohnHenryStyle and we thank you for all your contributions. Wishing you much gratitude and success",,@JohnHenryStyle,,1229229888491728897,https://twitter.com/HarlemCapital/status/1229229888491728897
2020-02-16 15:30:53,HarlemCapital,SamsungNEXT,0,0,3,"Congrats @BrandonDHoffman",,@BrandonDHoffman,,1229065621817774081,https://twitter.com/HarlemCapital/status/1229065621817774081
2020-02-15 15:40:28,HarlemCapital,,0,8,27,"Thank you @naic for sharing our story. We are proud to be members of an organization that highlights managers of colors http://naicpe.com/wp-content/uploads/2020/02/HarlemCapital-SeekingReturns3.pdf",,@naic,,1228705642455740421,https://twitter.com/HarlemCapital/status/1228705642455740421
2020-02-13 16:54:31,HarlemCapital,,5,32,85,"Read and Share Alert: We did a 2-part BHM series on diverse VC General Partners. Part 1 is for founders and focuses on: 1) What VCs look for 2) Common founder mistakes 3) Challenges for diverse founders Thanks @KeshaCashIAFund @kerby @chudson @SLP_EDU",,@KeshaCashIAFund @kerby @chudson @SLP_EDU,,1227999501874536448,https://twitter.com/HarlemCapital/status/1227999501874536448
2020-02-12 14:56:17,HarlemCapital,,0,0,4,"Thanks for everyone that signed up so fast. We already have a waitlist, but please still sign up as we will try our best to get more people in.",,,,1227607360073555968,https://twitter.com/HarlemCapital/status/1227607360073555968
2020-02-11 17:10:00,HarlemCapital,,2,5,18,"Event Alert: HCP and @Facebook are hosting a BHM event on Feb 20th 6-9pm. It will feature HCP members @gabbycazeau, @hpierrejacques and @jarridvtingle as well as our founder @stacyspikes and product experts @tiffanydockery and @DionTech https://bhmtechtalk.splashthat.com/ pwd: ""blacktech""",,@Facebook @gabbycazeau @hpierrejacques @jarridvtingle @stacyspikes @tiffanydockery @DionTech,,1227278626556727299,https://twitter.com/HarlemCapital/status/1227278626556727299
2020-02-11 15:10:33,HarlemCapital,TechCrunch,1,4,40,"Congrats to @kerby and @EqualVentures on announcing their debut $56mn fund. Awesome to have you all in NYC Seed ecosystem",,@kerby @EqualVentures,,1227248562360201217,https://twitter.com/HarlemCapital/status/1227248562360201217
2020-02-10 23:49:32,HarlemCapital,,0,7,28,"Awesome to see 5 of our founders on @crunchbase 25 Black Entrepreneurs Making Waves bc they truly are. Keep it up https://about.crunchbase.com/blog/25-black-entrepreneurs-making-waves/?utm_source=cb_daily&amp;utm_medium=email&amp;utm_campaign=20200210&amp;utm_content=intro&amp;utm_term=content&amp;mkt_tok=eyJpIjoiTkRrell6WmlZek0zTkROaSIsInQiOiJ3ZlFxVHczWlwvVDN3TFJ4Y0JjcmZqQkhQRXFwNEk2UjVDcmNpSDBTY21Cc3hadDJqY1h6Y3gxYkFuYzVuV0VkbHRZUnhYMzBMckw2QTBcL1lueVZJbXRVWm02NExtUG9rMGJcL1I0UUY5bTljWmVhMG90MStPTGhNWThseVdkaXJ1NSJ9",,@crunchbase,,1227016783170875393,https://twitter.com/HarlemCapital/status/1227016783170875393
2020-02-09 16:17:25,HarlemCapital,,0,2,31,"Getting together with our current and past interns is always so much fun. We had our first HCP ping pong tournament, a competitive group of people to say the least lol HCP family continues to grow!",,,,1226540617603407872,https://twitter.com/HarlemCapital/status/1226540617603407872
2020-02-08 21:36:56,HarlemCapital,,0,1,4,"There cases are now available for purchase Case A https://store.hbr.org/product/harlem-capital-changing-the-face-of-entrepreneurship-a/120040?sku=120040-PDF-ENG Case B",,,,1226258635724070913,https://twitter.com/HarlemCapital/status/1226258635724070913
2020-02-05 14:48:01,HarlemCapital,,7,3,55,"Please join us in welcoming @kk_goldstein to the HCP team Kelly was an intern and fellow, we are excited to continue working with her. Kelly notes, “I have been committed to building a purpose-driven career in investing for some time.""",,@kk_goldstein,,1225068566661279745,https://twitter.com/HarlemCapital/status/1225068566661279745
2020-02-04 23:12:56,HarlemCapital,MaCVentureCap,1,0,3,"@MarlonCNichols needs a logo ;)",,@MarlonCNichols,,1224833245428244484,https://twitter.com/HarlemCapital/status/1224833245428244484
2020-02-04 22:50:43,HarlemCapital,,1,32,74,"LOOK at this chart and research report! Diverse founders return 30% higher returns. This is what we have been trying to prove since we started, but couldn't find the data. Amazing to have this from @KauffmanFDN and @MaCVentureCap, thank you http://www.kauffmanfellows.org/journal_posts/the-pipeline-myth-ethnicity-fund-managers",,@KauffmanFDN @MaCVentureCap,,1224827653263368194,https://twitter.com/HarlemCapital/status/1224827653263368194
2020-02-04 03:32:28,HarlemCapital,,0,0,12,"Great macro trends insight by @benedictevans on 1) what happens with everyone online 2) the next S curve 3) future regulation and policy",,@benedictevans,,1224536170962530305,https://twitter.com/HarlemCapital/status/1224536170962530305
2020-02-03 19:31:11,HarlemCapital,,0,29,60,"Great BHM piece by @Forbes and @ruthumohnews",,@Forbes @ruthumohnews,,1224415052440199169,https://twitter.com/HarlemCapital/status/1224415052440199169
2020-02-02 21:19:55,HarlemCapital,,0,1,4,"Portfolio job alert: Pangaea is hiring a growth analytics role in LA https://angel.co/company/pangaea-holdings/jobs/609043-product-manager-growth-analytics?utm_campaign=talent&amp;utm_content=promote_jobs_box-listing&amp;utm_medium=al_tweet&amp;utm_source=twitter&amp;utm_term=pangaea-holdings",,,,1224080027656105985,https://twitter.com/HarlemCapital/status/1224080027656105985
2020-02-02 20:58:41,HarlemCapital,,0,13,35,"70% of minority owned funds are now in VC. If LPs don't start putting real dollars into these funds there will continue to be less than 1% of capital globally managed by minorities. Thanks for tracking @FairviewCapital",,@FairviewCapital,,1224074685245247491,https://twitter.com/HarlemCapital/status/1224074685245247491
2020-01-31 17:13:17,HarlemCapital,,0,0,7,"There were so many others like @joshk, @johnlegend and @kirstenagreen. Put yourself in rooms with minds different than yours and it will create new paths. Thank you @upfrontvc for expanding our minds",,@joshk @johnlegend @kirstenagreen @upfrontvc,,1223293183137730563,https://twitter.com/HarlemCapital/status/1223293183137730563
2020-01-31 17:09:18,HarlemCapital,,1,0,4,"7. @ParisHilton ""God put me here to bring love and make people happy""",,@ParisHilton,,1223292180673921024,https://twitter.com/HarlemCapital/status/1223292180673921024
2020-01-31 17:08:13,HarlemCapital,,1,1,8,"6. @steveballmer ""You build what you want to sell, you sell what you want to build.”",,@steveballmer,,1223291909591797762,https://twitter.com/HarlemCapital/status/1223291909591797762
2020-01-31 17:04:12,HarlemCapital,,1,0,5,"5. @ReeseW ""There weren't stories being told about women that I believed in so I created my own studio to share the stories I wanted""",,@ReeseW,,1223290897309323264,https://twitter.com/HarlemCapital/status/1223290897309323264
2020-01-31 17:00:50,HarlemCapital,,1,0,7,"4. @tyrabanks ""Pain, passion and a plan are what led to my success""",,@tyrabanks,,1223290051439673344,https://twitter.com/HarlemCapital/status/1223290051439673344
2020-01-31 16:57:04,HarlemCapital,,1,0,5,"3. @jjabrams and Katie McGrath ""We often forget the power of our voice."" JJ Abrams ""Anytime you have a privelege, you have an obligation"" Katie McGrath",,@jjabrams,,1223289104835592192,https://twitter.com/HarlemCapital/status/1223289104835592192
2020-01-31 16:53:50,HarlemCapital,,2,0,13,"2. @EvaLongoria and @zoesaldana “I don’t want a revolution, I want a renaissance” Zoe Saldana “We didn’t cross the border, the border crossed us” Eva Longoria",,@EvaLongoria @zoesaldana,,1223288287625760769,https://twitter.com/HarlemCapital/status/1223288287625760769
2020-01-31 16:50:38,HarlemCapital,,1,11,43,"We had a great time at the @upfrontvc summit. Wanted to share some of our top quotes from these incredible minds. 1. Starting with @icecube “Kobe wasn’t satisfied with the talents that God gave him, he wanted to be better than the talents that God gave him”",,@upfrontvc @icecube,,1223287485876162566,https://twitter.com/HarlemCapital/status/1223287485876162566
2020-01-31 08:44:49,HarlemCapital,EMajec,1,0,1,"Deals@harlem.capital",,,,1223165222992539648,https://twitter.com/HarlemCapital/status/1223165222992539648
2020-01-30 04:51:33,HarlemCapital,josehfloresMD,1,1,26,"Send us your latest jasmine, know we spoke a while ago",,,,1222744134789689344,https://twitter.com/HarlemCapital/status/1222744134789689344
2020-01-29 15:53:16,HarlemCapital,,2,9,39,"We are sending out the first edition of our monthly newsletter tomorrow with recaps of news on our portfolio companies, industry news + more. Subscribe below to join https://harlem.capital/subscribe",,,,1222548273270947840,https://twitter.com/HarlemCapital/status/1222548273270947840
2020-01-28 11:32:38,HarlemCapital,Google,1,5,20,"Rise and shine! Watch this and let it inspire you Nicely done @Google",,@Google,,1222120294070018049,https://twitter.com/HarlemCapital/status/1222120294070018049
2020-01-28 11:29:40,HarlemCapital,tristanwalker,1,0,6,"Onward and upward ",,,,1222119544992477184,https://twitter.com/HarlemCapital/status/1222119544992477184
2020-01-27 16:43:36,HarlemCapital,,1,20,91,"1.27.20 The first day a Harlem Capital case was taught at @HarvardHBS. 3% of HBS cases have Black protagonist, our stories need to be told and we are truly honored to be one of them ",,@HarvardHBS,,1221836161376817155,https://twitter.com/HarlemCapital/status/1221836161376817155
2020-01-26 15:01:43,HarlemCapital,,0,4,26,"Quote 40: “Everything is replicable, But we want to make it really hard.” Founder Probably one of the most honest answers we've heard in a founder meeting. Many companies don't have true tech differentiation, but instead a brand or team moat. What is your MOAT?",,,,1221448135068831744,https://twitter.com/HarlemCapital/status/1221448135068831744
2020-01-23 17:16:15,HarlemCapital,,2,13,37,"That is a powerful move and one that actually leads to change. Shout out to @GoldmanSachs",,@GoldmanSachs,,1220394830007865346,https://twitter.com/HarlemCapital/status/1220394830007865346
2020-01-22 06:00:14,HarlemCapital,,0,8,21,"Wow almost 1,000 fund data set by @markets, pretty incredible analysis done. Would love to see this for VC",,@markets,,1219862312951087104,https://twitter.com/HarlemCapital/status/1219862312951087104
2020-01-21 17:33:00,HarlemCapital,,1,18,56,"Harlem Capital Newsletter! We are rolling out our first public newsletter next week. Subscribe below to join our newsletters https://harlem.capital/subscribe",,,,1219674267178164224,https://twitter.com/HarlemCapital/status/1219674267178164224
2020-01-20 16:17:33,HarlemCapital,melindagates,0,4,20,"Happy MLK Day On this day, we ask, How will you use your voice for yourself and for others? What will you tell your ancestors you did with your freedom bc of their legacy?",,,,1219292893292236801,https://twitter.com/HarlemCapital/status/1219292893292236801
2020-01-18 15:52:18,HarlemCapital,,1,14,40,"New Fund Alert: $150mm @Citi Social Impact Fund. @Citi please make it very clear how founders can access the capital and your criteria",,@Citi @Citi,,1218561762926178307,https://twitter.com/HarlemCapital/status/1218561762926178307
2020-01-17 14:17:26,HarlemCapital,MinnesotaCup,1,1,20,"Another raise alert: Congrats to @Civic_Eagle and @DamolaOgundipe on the $1.3mm Seed Rd ",,@Civic_Eagle @DamolaOgundipe,,1218175500503470080,https://twitter.com/HarlemCapital/status/1218175500503470080
2020-01-17 13:57:38,HarlemCapital,AfroTech,0,2,11,"Raise alert: Congrats to @gentemhealth and @FOsitelu on the $3.7mm Seed Rd ",,@gentemhealth @FOsitelu,,1218170517921914882,https://twitter.com/HarlemCapital/status/1218170517921914882
2020-01-16 18:24:53,HarlemCapital,,3,13,103,"It is always our favorite time when the new interns start. This class was selected from our largest applicant pool yet, 565 applications. We are excited to welcome them to the HCP family. Please join us in welcoming the Winter 2020 intern class.",,,,1217875384840212480,https://twitter.com/HarlemCapital/status/1217875384840212480
2020-01-14 23:11:28,HarlemCapital,nvca,0,3,8,"Always look forward to these reports by @nvca @PitchBook @SVB_Financial and @cartainc, must read",,@nvca @PitchBook @SVB_Financial @cartainc,,1217222729511919616,https://twitter.com/HarlemCapital/status/1217222729511919616
2020-01-14 20:06:21,HarlemCapital,LererHippeau,1,0,6,"VC internship alert: Summer MBA Associate role @LererHippeau ",,@LererHippeau,,1217176146363715585,https://twitter.com/HarlemCapital/status/1217176146363715585
2020-01-14 12:31:18,HarlemCapital,fcubedvc,0,1,5,"Self care is REALLY important",,,,1217061628849639424,https://twitter.com/HarlemCapital/status/1217061628849639424
2020-01-12 15:13:40,HarlemCapital,nokike,0,2,8,"Some really great insights by @nokike and @645ventures on 5 myths of unicorns",,@nokike @645ventures,,1216377710475382787,https://twitter.com/HarlemCapital/status/1216377710475382787
2020-01-11 06:02:59,HarlemCapital,tajj_developer,0,0,0,"No spring, having summer class. Application opens in March",,,,1215876740746223618,https://twitter.com/HarlemCapital/status/1215876740746223618
2020-01-10 15:55:17,HarlemCapital,,1,6,21,"Quote 39: ""Vision is the Art of Seeing What is Invisible to Others"" What is YOUR vision? So often we need others to validate our opinion, but for founders/investors that truly shouldn't be the case. You will always need some to believe, but make sure you listen to yourself most",,,,1215663409041231880,https://twitter.com/HarlemCapital/status/1215663409041231880
2020-01-09 15:52:46,HarlemCapital,nteffal,0,0,0,"Rarely",,,,1215300390046052355,https://twitter.com/HarlemCapital/status/1215300390046052355
2020-01-08 14:22:36,HarlemCapital,KaporCapital,1,1,13,"MBA VC Internship alert ",,,,1214915310345768960,https://twitter.com/HarlemCapital/status/1214915310345768960
2020-01-07 14:36:19,HarlemCapital,techstars,0,2,30,"We are proud to be @techstars partners. Check out the 9 accelerator programs now open ",,@techstars,,1214556375394721792,https://twitter.com/HarlemCapital/status/1214556375394721792
2020-01-07 05:29:26,HarlemCapital,nihalmehta,0,0,0,"Looks good on you ",,,,1214418745315209216,https://twitter.com/HarlemCapital/status/1214418745315209216
2020-01-06 15:35:02,HarlemCapital,OneBandwagonFan,0,0,2,"Harold shoot an email over with updates since MS demo day",,,,1214208764108251136,https://twitter.com/HarlemCapital/status/1214208764108251136
2020-01-06 15:30:22,HarlemCapital,,2,2,15,"Note we are US focused only. Our check size is typically $500k-$1mm. Seed is our sweet spot, but we also do Series A",,,,1214207589162127363,https://twitter.com/HarlemCapital/status/1214207589162127363
2020-01-06 15:28:53,HarlemCapital,TrellisUsher,0,0,1,"Typically don't do pre rev but since 2x founder will take look, send materials via email",,,,1214207216691109890,https://twitter.com/HarlemCapital/status/1214207216691109890
2020-01-06 15:25:52,HarlemCapital,AshutoshRaj_GI,1,0,0,"US only",,,,1214206455831834626,https://twitter.com/HarlemCapital/status/1214206455831834626
2020-01-06 15:25:41,HarlemCapital,SageFranch,0,0,0,"Shoot us an email ",,,,1214206409098891264,https://twitter.com/HarlemCapital/status/1214206409098891264
2020-01-06 15:24:07,HarlemCapital,HopeSusLife,1,0,0,"We do not",,,,1214206014435840000,https://twitter.com/HarlemCapital/status/1214206014435840000
2020-01-06 15:22:27,HarlemCapital,sumanshikha,0,0,0,"US only",,,,1214205593852006401,https://twitter.com/HarlemCapital/status/1214205593852006401
2020-01-06 07:51:12,HarlemCapital,StoneAtwine,1,0,3,"Ah only do US based at moment, but impressive growth and like the product thesis",,,,1214092032987279361,https://twitter.com/HarlemCapital/status/1214092032987279361
2020-01-06 07:47:59,HarlemCapital,StoneAtwine,1,0,0,"Yup 10%+ m-o-m, are they US based or Africa based?",,,,1214091224015130624,https://twitter.com/HarlemCapital/status/1214091224015130624
2020-01-06 07:38:05,HarlemCapital,colynsehys,0,0,1,"Interested in FinTech but haven't decided a blockchain thesis yet",,,,1214088733097709568,https://twitter.com/HarlemCapital/status/1214088733097709568
2020-01-06 03:27:52,HarlemCapital,trainerlauren,1,0,1,"Likely to only do Pre-revenue if 2x founder",,,,1214025763768471553,https://twitter.com/HarlemCapital/status/1214025763768471553
2020-01-06 01:16:34,HarlemCapital,OnukoguFavour,0,0,0,"Yes US based",,,,1213992720060108806,https://twitter.com/HarlemCapital/status/1213992720060108806
2020-01-06 00:44:25,HarlemCapital,gonesgr,0,0,1,"Haven’t invested in space so not aware but many mobility funds are SF based",,,,1213984632225570816,https://twitter.com/HarlemCapital/status/1213984632225570816
2020-01-06 00:40:52,HarlemCapital,tommyrva,0,0,4,"Typically $100k realized at 2x annual growth, but if at $100k ARR then 10%+ MRR",,,,1213983736179638273,https://twitter.com/HarlemCapital/status/1213983736179638273
2020-01-06 00:36:25,HarlemCapital,gonesgr,1,0,1,"Too capital intensive given our fund size and future dilution",,,,1213982617411948544,https://twitter.com/HarlemCapital/status/1213982617411948544
2020-01-06 00:34:14,HarlemCapital,,0,0,0,"Seed and Series A",,,,1213982069224808453,https://twitter.com/HarlemCapital/status/1213982069224808453
2020-01-06 00:32:59,HarlemCapital,_khensanimabasa,0,0,1,"US only for now",,,,1213981752072560642,https://twitter.com/HarlemCapital/status/1213981752072560642
2020-01-05 23:03:55,HarlemCapital,mrcasualhipster,0,0,2,"Yup agreed there are the Ubers and Shopifys of the world creating new markets. Flexible to make exceptions, but typically we see startups being built in existing markets",,,,1213959339519680512,https://twitter.com/HarlemCapital/status/1213959339519680512
2020-01-05 22:40:29,HarlemCapital,mrcasualhipster,1,0,11,"We typically look for founder, market and business. Our view is you can't change the founder or outgrow the market, but can change the business. So TAM is important to us",,,,1213953441044869120,https://twitter.com/HarlemCapital/status/1213953441044869120
2020-01-05 22:32:27,HarlemCapital,derekcapo,1,0,1,"Yes including in People Of Color ",,,,1213951419289612289,https://twitter.com/HarlemCapital/status/1213951419289612289
2020-01-05 21:43:47,HarlemCapital,,106,270,649,"Founder Alert: We are going to invest in 10-12 startups run by women or POC in 2020. Below is some criteria, check out more at https://harlem.capital/investmentcriteria 1. Raising $1mm+ Rd 2. We target 5-10% ownership 3. $100k+ rev, 2x annual growth 4. $1B+ TAM Tag founders we should know ",,,,1213939175478702080,https://twitter.com/HarlemCapital/status/1213939175478702080
2020-01-02 02:21:17,HarlemCapital,fredwilson,1,1,10,"Great 10 predictions by @fredwilson for the 2020s",,@fredwilson,,1212559455147241472,https://twitter.com/HarlemCapital/status/1212559455147241472
